station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,sknt,mslp,p01m,p01i,gust,skyc1,skyl1,romps_LCL_m,lcl_estimate
LGU,2023-03-01 00:51,30.9,-0.61,12.9,-10.61,46.74,21.59,10.0,1007.8,0.0,0.0,,BKN,6000.0,1236.2794928965686,1250.0
BCE,2023-03-01 00:53,7.0,-13.89,1.0,-17.22,75.88,0.11,3.0,1011.4,0.0,0.0,,CLR,,602.0167841059347,416.2499999999998
OGD,2023-03-01 00:53,34.0,1.11,12.0,-11.11,39.65,27.22,7.0,1006.9,0.0,0.0,,OVC,10000.0,1497.592253026923,1527.4999999999998
CDC,2023-03-01 00:53,32.0,0.0,23.0,-5.0,69.04,22.0,12.0,1008.6,0.0,0.0,,CLR,,618.95882816822,625.0
PUC,2023-03-01 00:53,27.0,-2.78,9.0,-12.78,46.08,20.46,5.0,1012.3,0.0,0.0,,CLR,,1265.0385819160215,1250.0
VEL,2023-03-01 00:53,21.9,-5.61,10.0,-12.22,59.63,11.67,8.0,1011.9,0.0,0.0,,CLR,,893.479690204575,826.25
CNY,2023-03-01 00:53,38.0,3.33,4.0,-15.56,23.57,31.97,7.0,1009.2,0.0,0.0,,CLR,,2298.753272916999,2361.25
SLC,2023-03-01 00:54,38.0,3.33,10.9,-11.72,32.36,27.52,18.0,1006.9,0.0,0.0,26.0,FEW,5500.0,1835.306880684142,1881.25
HIF,2023-03-01 00:55,30.9,-0.61,10.0,-12.22,41.09,20.6,12.0,1007.1,0.0,0.0,,OVC,9000.0,1430.6889609824927,1451.2500000000002
ENV,2023-03-01 00:56,37.0,2.78,19.9,-6.72,49.61,27.97,13.0,1006.3,0.0,0.0,,FEW,8000.0,1170.9702403911285,1187.5
PVU,2023-03-01 00:56,34.0,1.11,14.0,-10.0,43.3,27.94,6.0,1010.0,0.0,0.0,,BKN,11000.0,1363.728167262836,1388.75
SGU,2023-03-01 00:56,48.0,8.89,26.1,-3.28,42.17,43.82,8.0,1009.4,0.0,0.0,,OVC,7500.0,1503.7702685754018,1521.25
LGU,2023-03-01 01:51,28.9,-1.72,10.9,-11.72,46.4,21.8,6.0,1008.4,0.0,0.0,,CLR,,1251.2613990197763,1250.0
BCE,2023-03-01 01:53,17.1,-8.28,9.0,-12.78,69.99,4.28,10.0,1009.8,0.0,0.0,,SCT,3600.0,673.4892707511165,562.5
OGD,2023-03-01 01:53,34.0,1.11,12.0,-11.11,39.65,26.0,9.0,1006.8,0.0,0.0,,OVC,8500.0,1497.5924749719188,1527.4999999999998
PUC,2023-03-01 01:53,23.0,-5.0,7.0,-13.89,49.74,18.4,3.0,1012.8,0.0,0.0,,CLR,,1159.6447285238035,1111.25
CNY,2023-03-01 01:53,30.9,-0.61,10.9,-11.72,42.78,25.09,5.0,1010.3,0.0,0.0,,CLR,,1370.2442286733483,1388.7500000000002
VEL,2023-03-01 01:53,19.0,-7.22,6.0,-14.44,56.57,10.96,5.0,1013.0,0.0,0.0,,CLR,,980.9155439626791,902.5
CDC,2023-03-01 01:53,33.0,0.56,21.0,-6.11,60.71,21.85,16.0,1008.5,0.0,0.0,,FEW,4600.0,829.6811087938188,833.75
SLC,2023-03-01 01:54,38.0,3.33,12.9,-10.61,35.35,29.13,13.0,1006.7,0.0,0.0,23.0,FEW,5500.0,1702.3876187721191,1742.5
HIF,2023-03-01 01:55,29.3,-1.5,14.4,-9.78,53.28,20.16,9.0,1006.8,0.0,0.0,,BKN,7000.0,1039.9566267915395,1035.0
ENV,2023-03-01 01:56,35.0,1.67,19.0,-7.22,51.47,25.95,12.0,1006.4,0.0,0.0,,OVC,8000.0,1101.5398242685035,1111.25
PVU,2023-03-01 01:56,34.0,1.11,12.9,-10.61,41.26,29.76,4.0,1009.4,0.0,0.0,,OVC,11000.0,1437.293689194703,1464.9999999999998
SGU,2023-03-01 01:56,47.0,8.33,27.0,-2.78,45.62,42.94,7.0,1009.0,0.0,0.0,,OVC,8000.0,1368.4390218123422,1388.75
